dataset,split,fp_combo,model,RMSE,MAE,R2,CV_train_R2_mean,CV_train_R2_std,CV_val_R2_mean,CV_val_R2_std
lo,ti,morgan+maccs,DNN,1.005066,0.777723,0.619426,0.6548328,0.04417553926054556,0.6548328,0.04417553926054556
lo,ti,morgan+avalon,DNN,0.997671,0.766864,0.625005,0.6289498000000001,0.04814839945584898,0.6289498000000001,0.04814839945584898
lo,ti,maccs+avalon,DNN,0.985221,0.731965,0.634306,0.631297,0.04145612373100024,0.631297,0.04145612373100024
lo,ti,morgan+maccs+avalon,DNN,0.962311,0.73275,0.651116,0.6664934,0.04099183729768648,0.6664934,0.04099183729768648
lo,en,morgan,DNN,1.10631,0.810949,0.606971,0.558812,0.07060483294789387,0.558812,0.07060483294789387
lo,en,maccs,DNN,1.072437,0.773793,0.63067,0.6633403999999999,0.05477636975046813,0.6633403999999999,0.05477636975046813
lo,en,avalon,DNN,1.069981,0.772091,0.63236,0.5974276,0.021772500045699826,0.5974276,0.021772500045699826
lo,en,morgan+maccs,DNN,1.045758,0.72792,0.648817,0.6471612,0.05394728011457111,0.6471612,0.05394728011457111
lo,en,morgan+avalon,DNN,1.063862,0.772539,0.636553,0.6480264,0.012161413052766535,0.6480264,0.012161413052766535
lo,en,maccs+avalon,DNN,1.007931,0.72621,0.673763,0.6546128,0.01861670434206869,0.6546128,0.01861670434206869
lo,en,morgan+maccs+avalon,DNN,1.019172,0.719848,0.666446,0.6713044,0.03307713928742932,0.6713044,0.03307713928742932
hu,rm,morgan,DNN,0.944654,0.691581,0.785023,0.7587588000000001,0.027393145707640055,0.7587588000000001,0.027393145707640055
hu,rm,maccs,DNN,0.94081,0.690614,0.786769,0.7948858,0.012409794074036853,0.7948858,0.012409794074036853
hu,rm,avalon,DNN,0.834671,0.618812,0.832167,0.817178,0.02333310642842056,0.817178,0.02333310642842056
hu,rm,morgan+maccs,DNN,0.799796,0.574989,0.845899,0.8305826,0.02025426795122449,0.8305826,0.02025426795122449
hu,rm,morgan+avalon,DNN,0.808304,0.599517,0.842603,0.832152,0.021777882642718013,0.832152,0.021777882642718013
hu,rm,maccs+avalon,DNN,0.757294,0.559967,0.861842,0.8495056,0.019259816381263856,0.8495056,0.019259816381263856
hu,rm,morgan+maccs+avalon,DNN,0.769351,0.567561,0.857408,0.8555246000000001,0.01816280026427644,0.8555246000000001,0.01816280026427644
hu,sc,morgan,DNN,1.604483,1.392407,-0.051222,0.7621266,0.021078486118315014,0.7621266,0.021078486118315014
hu,sc,maccs,DNN,1.766672,1.570464,-0.27449,0.7645464000000001,0.03268764157659589,0.7645464000000001,0.03268764157659589
